frame,ok,x,y,w,h,score,dt_ms
0,1,1249.00,1989.00,224.00,229.00,,220.588
1,1,1249.00,1990.00,224.00,229.00,,213.557
2,1,1250.00,1990.00,224.00,229.00,,200.212
3,1,1250.00,1991.00,224.00,229.00,,223.134
4,1,1251.00,1993.00,224.00,229.00,,209.630
5,1,1252.00,1993.00,224.00,229.00,,213.993
6,1,1253.00,1994.00,224.00,229.00,,217.058
7,1,1253.00,1996.00,224.00,229.00,,223.422
8,1,1254.00,1997.00,224.00,229.00,,177.977
9,1,1254.00,1998.00,224.00,229.00,,296.822
10,1,1255.00,1999.00,224.00,229.00,,258.459
11,1,1253.00,1999.00,228.00,234.00,,200.710
12,1,1256.00,2002.00,224.00,229.00,,239.920
13,1,1257.00,2003.00,224.00,229.00,,235.990
14,1,1255.00,2003.00,228.00,234.00,,174.893
15,1,1257.00,2005.00,228.00,234.00,,258.674
16,1,1256.00,2004.00,233.00,238.00,,188.679
17,1,1258.00,2008.00,228.00,234.00,,161.763
18,1,1259.00,2009.00,228.00,234.00,,165.598
19,1,1257.00,2009.00,233.00,238.00,,236.201
20,1,1258.00,2010.00,233.00,238.00,,171.736
21,1,1259.00,2012.00,233.00,238.00,,155.948
22,1,1260.00,2014.00,233.00,238.00,,155.584
23,1,1261.00,2015.00,233.00,238.00,,170.007
24,1,1258.00,2015.00,238.00,243.00,,178.651
25,1,1262.00,2018.00,233.00,238.00,,219.858
26,1,1260.00,2018.00,238.00,243.00,,204.064
27,1,1261.00,2019.00,238.00,243.00,,151.553
28,1,1259.00,2018.00,242.00,248.00,,174.355
29,1,1263.00,2022.00,238.00,243.00,,154.694
30,1,1263.00,2024.00,238.00,243.00,,206.378
31,1,1262.00,2023.00,242.00,248.00,,269.082
32,1,1265.00,2027.00,238.00,243.00,,247.399
33,1,1262.00,2028.00,242.00,248.00,,171.379
34,1,1264.00,2029.00,242.00,248.00,,232.940
35,1,1265.00,2031.00,242.00,248.00,,218.559
36,1,1266.00,2032.00,242.00,248.00,,152.985
37,1,1264.00,2032.00,247.00,253.00,,153.786
38,1,1265.00,2032.00,247.00,253.00,,164.830
39,1,1265.00,2034.00,247.00,253.00,,153.290
40,1,1266.00,2035.00,247.00,253.00,,156.369
41,1,1267.00,2037.00,247.00,253.00,,156.240
42,1,1268.00,2038.00,247.00,253.00,,198.289
43,1,1269.00,2041.00,247.00,253.00,,266.048
44,1,1269.00,2041.00,247.00,253.00,,205.446
45,1,1269.00,2042.00,247.00,253.00,,178.863
46,1,1270.00,2043.00,247.00,253.00,,186.358
47,1,1267.00,2042.00,252.00,258.00,,219.408
48,1,1272.00,2046.00,247.00,253.00,,253.247
49,1,1270.00,2045.00,252.00,258.00,,257.380
50,1,1271.00,2046.00,252.00,258.00,,236.945
51,1,1271.00,2048.00,252.00,258.00,,215.440
52,1,1272.00,2049.00,252.00,258.00,,179.922
53,1,1273.00,2050.00,252.00,258.00,,168.278
54,1,1271.00,2049.00,257.00,263.00,,165.831
55,1,1273.00,2050.00,257.00,263.00,,159.367
56,1,1274.00,2052.00,257.00,263.00,,174.727
57,1,1272.00,2050.00,262.00,268.00,,226.996
58,1,1275.00,2052.00,262.00,268.00,,173.101
59,1,1275.00,2053.00,262.00,268.00,,159.823
60,1,1275.00,2052.00,268.00,274.00,,187.628
61,1,1279.00,2056.00,262.00,268.00,,261.176
62,1,1276.00,2054.00,268.00,274.00,,211.296
63,1,1281.00,2057.00,262.00,268.00,,188.159
64,1,1279.00,2056.00,268.00,274.00,,173.707
65,1,1281.00,2057.00,268.00,274.00,,197.598
66,1,1283.00,2059.00,268.00,274.00,,246.094
67,1,1285.00,2060.00,268.00,274.00,,251.530
68,1,1282.00,2059.00,273.00,279.00,,202.928
69,1,1287.00,2062.00,268.00,274.00,,184.235
70,1,1285.00,2061.00,273.00,279.00,,170.289
