frame,ok,x,y,w,h,score,dt_ms
0,1,1094.00,618.00,100.00,66.00,,71.882
1,1,1094.00,618.00,100.00,66.00,,111.164
2,1,1095.00,618.00,100.00,66.00,,80.053
3,1,1095.00,618.00,100.00,66.00,,67.637
4,1,1095.00,618.00,100.00,66.00,,85.747
5,1,1094.00,617.00,102.00,67.00,,78.281
6,1,1095.00,618.00,100.00,66.00,,76.792
7,1,1095.00,619.00,98.00,65.00,,89.980
8,1,1094.00,620.00,98.00,65.00,,93.925
9,1,1096.00,621.00,94.00,62.00,,90.517
10,1,1095.00,621.00,96.00,63.00,,125.943
11,1,1094.00,621.00,96.00,63.00,,123.235
12,1,1095.00,620.00,96.00,63.00,,70.669
13,1,1092.00,618.00,100.00,66.00,,66.194
14,1,1093.00,619.00,98.00,65.00,,75.566
15,1,1093.00,618.00,98.00,65.00,,98.001
16,1,1094.00,619.00,96.00,63.00,,157.314
17,1,1095.00,618.00,92.00,61.00,,104.723
18,1,1095.00,618.00,94.00,62.00,,77.227
19,1,1093.00,617.00,98.00,65.00,,71.345
20,1,1095.00,618.00,96.00,63.00,,72.783
21,1,1095.00,618.00,96.00,63.00,,96.969
22,1,1094.00,617.00,98.00,65.00,,94.873
23,1,1093.00,617.00,100.00,66.00,,124.373
24,1,1092.00,617.00,100.00,66.00,,107.819
25,1,1093.00,618.00,98.00,65.00,,79.177
26,1,1091.00,618.00,100.00,66.00,,77.379
27,1,1092.00,619.00,98.00,65.00,,74.683
28,1,1091.00,618.00,100.00,66.00,,72.919
29,1,1090.00,619.00,100.00,66.00,,76.180
30,1,1091.00,620.00,98.00,65.00,,83.111
31,1,1091.00,619.00,98.00,65.00,,76.356
32,1,1088.00,620.00,102.00,67.00,,77.520
33,1,1090.00,623.00,98.00,65.00,,73.059
34,1,1090.00,623.00,98.00,65.00,,88.946
35,1,1088.00,624.00,100.00,66.00,,93.746
36,1,1088.00,623.00,100.00,66.00,,78.446
37,1,1091.00,623.00,96.00,63.00,,70.216
38,1,1091.00,624.00,94.00,62.00,,68.739
39,1,1092.00,624.00,94.00,62.00,,92.736
40,1,1093.00,689.00,94.00,62.00,,103.667
41,1,1091.00,621.00,98.00,65.00,,98.710
42,1,1086.00,620.00,98.00,65.00,,98.249
43,1,1087.00,620.00,96.00,63.00,,76.886
44,1,1086.00,619.00,98.00,65.00,,84.084
45,1,1085.00,619.00,98.00,65.00,,70.794
46,1,1084.00,619.00,98.00,65.00,,70.053
47,1,1083.00,620.00,98.00,65.00,,75.053
48,1,1082.00,620.00,100.00,66.00,,91.185
49,1,1084.00,621.00,96.00,63.00,,91.136
50,1,1085.00,621.00,96.00,63.00,,86.647
51,1,1085.00,621.00,98.00,65.00,,95.804
52,1,1087.00,622.00,94.00,62.00,,97.110
53,1,1088.00,622.00,94.00,62.00,,121.487
54,1,1086.00,620.00,98.00,65.00,,153.319
55,1,1087.00,622.00,96.00,63.00,,146.455
56,1,1087.00,622.00,96.00,63.00,,69.750
