frame,ok,x,y,w,h,score,dt_ms
0,1,1094.00,618.00,100.00,66.00,,7.176
1,1,1094.00,618.00,100.00,66.00,,6.270
2,1,1094.00,618.00,100.00,66.00,,5.570
3,1,1094.00,618.00,100.00,66.00,,5.319
4,1,1094.00,618.00,100.00,66.00,,5.511
5,1,1094.00,618.00,100.00,66.00,,5.408
6,1,1094.00,618.00,100.00,66.00,,5.250
7,1,1092.00,618.00,100.00,66.00,,7.185
8,1,1092.00,618.00,100.00,66.00,,5.237
9,1,1092.00,618.00,100.00,66.00,,5.341
10,1,1092.00,618.00,100.00,66.00,,6.031
11,1,1092.00,618.00,100.00,66.00,,4.716
12,1,1094.00,618.00,100.00,66.00,,5.476
13,1,1092.00,618.00,100.00,66.00,,7.322
14,1,1092.00,618.00,100.00,66.00,,5.420
15,1,1090.00,618.00,100.00,66.00,,4.844
16,1,1092.00,618.00,100.00,66.00,,5.182
17,0,1094.00,618.00,100.00,66.00,,3.310
18,1,1092.00,616.00,100.00,66.00,,5.279
19,1,1092.00,614.00,100.00,66.00,,5.562
20,1,1092.00,616.00,100.00,66.00,,7.253
21,1,1092.00,614.00,100.00,66.00,,4.525
22,1,1092.00,616.00,100.00,66.00,,5.475
23,1,1092.00,614.00,100.00,66.00,,5.552
24,1,1092.00,616.00,100.00,66.00,,7.466
25,1,1092.00,614.00,100.00,66.00,,5.030
26,1,1090.00,616.00,100.00,66.00,,6.032
27,1,1090.00,616.00,100.00,66.00,,5.518
28,1,1090.00,616.00,100.00,66.00,,5.920
29,1,1090.00,616.00,100.00,66.00,,6.221
30,1,1090.00,616.00,100.00,66.00,,6.538
31,1,1090.00,616.00,100.00,66.00,,7.208
32,1,1088.00,618.00,100.00,66.00,,6.821
33,1,1088.00,620.00,100.00,66.00,,7.031
34,1,1088.00,620.00,100.00,66.00,,7.894
35,1,1088.00,620.00,100.00,66.00,,5.731
36,1,1088.00,620.00,100.00,66.00,,7.679
37,1,1088.00,618.00,100.00,66.00,,6.971
38,1,1088.00,620.00,100.00,66.00,,6.111
39,1,1088.00,618.00,100.00,66.00,,8.225
40,0,1094.00,618.00,100.00,66.00,,3.428
41,1,1090.00,618.00,100.00,66.00,,5.865
