frame,ok,x,y,w,h,score,dt_ms
0,1,684.00,587.00,150.00,142.00,,88.987
1,1,684.00,591.00,150.00,142.00,,90.746
2,1,679.00,591.00,156.00,148.00,,94.147
3,1,681.00,596.00,150.00,142.00,,94.442
4,1,685.00,597.00,144.00,136.00,,88.377
5,1,685.00,594.00,147.00,139.00,,98.832
6,1,688.00,598.00,141.00,134.00,,85.046
7,1,691.00,598.00,141.00,134.00,,82.971
8,1,693.00,600.00,141.00,134.00,,79.914
9,1,693.00,600.00,144.00,136.00,,83.863
10,1,697.00,604.00,139.00,131.00,,83.419
11,1,698.00,604.00,141.00,134.00,,96.499
12,1,702.00,606.00,139.00,131.00,,81.708
13,1,704.00,606.00,139.00,131.00,,75.963
14,1,705.00,607.00,139.00,131.00,,76.527
15,1,709.00,610.00,136.00,128.00,,78.560
16,1,710.00,611.00,136.00,128.00,,81.975
17,1,713.00,613.00,133.00,126.00,,80.799
18,1,715.00,614.00,131.00,123.00,,80.814
19,1,716.00,614.00,131.00,123.00,,77.532
20,1,719.00,616.00,128.00,121.00,,76.479
21,1,719.00,617.00,128.00,121.00,,80.885
22,1,722.00,620.00,123.00,116.00,,77.636
23,1,722.00,618.00,125.00,119.00,,89.517
24,1,723.00,619.00,123.00,116.00,,75.682
25,1,721.00,618.00,125.00,119.00,,86.198
26,1,723.00,620.00,123.00,116.00,,83.511
27,1,722.00,618.00,125.00,119.00,,85.059
28,1,720.00,617.00,131.00,123.00,,76.230
29,1,719.00,617.00,131.00,123.00,,73.702
30,1,720.00,617.00,131.00,123.00,,72.047
31,1,720.00,616.00,131.00,123.00,,71.386
32,1,723.00,617.00,125.00,119.00,,75.041
33,1,723.00,618.00,123.00,116.00,,72.061
34,1,722.00,619.00,123.00,116.00,,70.119
35,1,722.00,619.00,123.00,116.00,,72.404
36,1,721.00,617.00,123.00,116.00,,72.198
37,1,718.00,614.00,128.00,121.00,,73.795
38,1,717.00,615.00,128.00,121.00,,129.872
39,1,717.00,614.00,128.00,121.00,,105.595
40,1,716.00,613.00,128.00,121.00,,72.874
41,1,715.00,612.00,128.00,121.00,,77.183
42,1,713.00,611.00,128.00,121.00,,83.679
43,1,711.00,609.00,128.00,121.00,,74.654
44,1,710.00,609.00,125.00,119.00,,77.107
45,1,708.00,607.00,125.00,119.00,,82.837
46,1,704.00,603.00,131.00,123.00,,84.622
47,1,703.00,603.00,131.00,123.00,,80.273
48,1,703.00,605.00,125.00,119.00,,72.165
49,1,702.00,604.00,125.00,119.00,,69.985
50,1,699.00,602.00,128.00,121.00,,72.386
51,1,698.00,603.00,125.00,119.00,,76.212
52,1,695.00,601.00,128.00,121.00,,71.774
53,1,695.00,601.00,125.00,119.00,,70.564
54,1,693.00,599.00,128.00,121.00,,70.997
55,1,692.00,599.00,128.00,121.00,,73.930
56,1,690.00,596.00,131.00,123.00,,71.790
57,1,689.00,596.00,131.00,123.00,,74.184
58,1,689.00,596.00,128.00,121.00,,73.281
59,1,689.00,595.00,128.00,121.00,,72.243
60,1,687.00,593.00,131.00,123.00,,73.142
61,1,687.00,593.00,131.00,123.00,,76.765
62,1,687.00,591.00,131.00,123.00,,76.415
63,1,688.00,592.00,128.00,121.00,,73.973
64,1,688.00,591.00,128.00,121.00,,73.379
65,1,686.00,591.00,131.00,123.00,,72.532
66,1,685.00,589.00,133.00,126.00,,75.940
67,1,685.00,589.00,133.00,126.00,,75.379
68,1,685.00,589.00,133.00,126.00,,73.954
69,1,684.00,588.00,133.00,126.00,,73.887
70,1,686.00,589.00,131.00,123.00,,77.709
71,1,687.00,588.00,131.00,123.00,,78.954
72,1,686.00,586.00,133.00,126.00,,81.058
73,1,686.00,587.00,133.00,126.00,,75.878
74,1,685.00,586.00,136.00,128.00,,72.895
75,1,685.00,586.00,136.00,128.00,,80.860
76,1,686.00,588.00,133.00,126.00,,90.851
77,1,686.00,588.00,133.00,126.00,,92.277
78,1,685.00,587.00,136.00,128.00,,80.065
79,1,685.00,588.00,136.00,128.00,,72.353
80,1,687.00,589.00,133.00,126.00,,74.180
81,1,689.00,589.00,131.00,123.00,,73.436
82,1,686.00,587.00,136.00,128.00,,76.999
83,1,688.00,588.00,133.00,126.00,,78.463
84,1,688.00,587.00,133.00,126.00,,81.576
85,1,688.00,586.00,133.00,126.00,,73.501
86,1,688.00,585.00,133.00,126.00,,75.534
87,1,686.00,584.00,136.00,128.00,,74.375
88,1,686.00,584.00,136.00,128.00,,79.702
89,1,687.00,585.00,133.00,126.00,,91.920
90,1,687.00,585.00,133.00,126.00,,90.498
91,1,689.00,587.00,131.00,123.00,,89.997
92,1,690.00,588.00,128.00,121.00,,76.655
93,1,693.00,592.00,123.00,116.00,,89.313
94,1,693.00,591.00,123.00,116.00,,95.928
95,1,692.00,591.00,125.00,119.00,,102.287
96,1,693.00,591.00,125.00,119.00,,91.039
97,1,694.00,592.00,125.00,119.00,,104.967
98,1,697.00,597.00,118.00,112.00,,102.802
99,1,699.00,599.00,116.00,110.00,,96.662
100,1,700.00,601.00,116.00,110.00,,102.461
101,1,700.00,602.00,116.00,110.00,,107.270
