frame,ok,x,y,w,h,score,dt_ms
0,1,1250.50,1990.00,225.00,240.00,,11.471
1,1,1251.50,1990.00,225.00,240.00,,10.826
2,1,1252.50,1991.00,225.00,240.00,,16.454
3,1,1252.50,1992.00,225.00,240.00,,15.770
4,1,1253.50,1993.00,225.00,240.00,,10.958
5,1,1253.50,1994.00,225.00,240.00,,10.011
6,1,1254.50,1995.00,225.00,240.00,,12.863
7,1,1255.50,1996.00,225.00,240.00,,10.378
8,1,1255.50,1997.00,225.00,240.00,,13.852
9,1,1256.50,1999.00,225.00,240.00,,10.284
10,1,1256.50,2000.00,225.00,240.00,,9.743
11,1,1257.50,2001.00,225.00,240.00,,9.805
12,1,1258.50,2003.00,225.00,240.00,,9.917
13,1,1258.50,2004.00,225.00,240.00,,10.575
14,1,1259.50,2006.00,225.00,240.00,,10.520
15,1,1260.50,2007.00,225.00,240.00,,9.904
16,1,1260.50,2009.00,225.00,240.00,,10.455
17,1,1261.50,2010.00,225.00,240.00,,10.356
18,1,1262.50,2012.00,225.00,240.00,,10.112
19,1,1263.50,2014.00,225.00,240.00,,10.267
20,1,1264.50,2015.00,225.00,240.00,,10.126
21,1,1265.50,2017.00,225.00,240.00,,10.256
22,1,1266.50,2019.00,225.00,240.00,,10.160
23,1,1266.50,2020.00,225.00,240.00,,13.947
24,1,1267.50,2022.00,225.00,240.00,,19.501
25,1,1268.50,2024.00,225.00,240.00,,15.213
26,1,1269.50,2025.00,225.00,240.00,,14.630
27,1,1270.50,2027.00,225.00,240.00,,8.948
28,1,1270.50,2028.00,225.00,240.00,,10.373
29,1,1271.50,2030.00,225.00,240.00,,9.845
30,1,1272.50,2032.00,225.00,240.00,,9.572
31,1,1273.50,2034.00,225.00,240.00,,14.579
32,1,1273.50,2035.00,225.00,240.00,,10.292
33,1,1274.50,2037.00,225.00,240.00,,13.546
34,1,1275.50,2039.00,225.00,240.00,,9.761
35,1,1275.50,2040.00,225.00,240.00,,8.997
36,1,1276.50,2042.00,225.00,240.00,,9.350
37,1,1277.50,2043.00,225.00,240.00,,10.367
