frame,ok,x,y,w,h,score,dt_ms
0,1,685.00,587.00,147.00,139.00,,14.795
1,1,684.00,590.00,147.00,139.00,,14.377
2,1,683.00,595.00,147.00,139.00,,13.745
3,1,682.00,596.00,147.00,139.00,,13.296
4,1,683.00,597.00,147.00,139.00,,14.852
5,1,684.00,596.00,147.00,139.00,,13.456
6,1,687.00,597.00,147.00,139.00,,14.455
7,1,688.00,598.00,147.00,139.00,,15.287
8,1,691.00,601.00,147.00,139.00,,14.482
9,1,692.00,602.00,147.00,139.00,,13.340
10,1,695.00,605.00,147.00,139.00,,18.012
11,1,696.00,604.00,147.00,139.00,,16.376
12,1,697.00,607.00,147.00,139.00,,15.347
13,1,698.00,606.00,147.00,139.00,,14.771
14,1,701.00,607.00,147.00,139.00,,15.495
15,1,702.00,608.00,147.00,139.00,,14.258
16,1,705.00,609.00,147.00,139.00,,14.245
17,1,706.00,608.00,147.00,139.00,,13.645
18,1,709.00,609.00,147.00,139.00,,14.201
19,1,710.00,608.00,147.00,139.00,,14.922
20,1,711.00,609.00,147.00,139.00,,13.746
21,1,712.00,608.00,147.00,139.00,,14.139
22,1,713.00,609.00,147.00,139.00,,14.201
23,1,712.00,608.00,147.00,139.00,,15.440
24,1,713.00,609.00,147.00,139.00,,14.254
25,1,712.00,608.00,147.00,139.00,,15.069
26,1,713.00,609.00,147.00,139.00,,14.443
27,1,712.00,610.00,147.00,139.00,,14.985
28,1,713.00,611.00,147.00,139.00,,15.111
29,1,712.00,610.00,147.00,139.00,,13.471
30,1,713.00,611.00,147.00,139.00,,15.887
31,1,714.00,610.00,147.00,139.00,,15.403
32,1,715.00,611.00,147.00,139.00,,14.512
33,1,714.00,610.00,147.00,139.00,,13.935
34,1,713.00,611.00,147.00,139.00,,13.999
35,1,712.00,610.00,147.00,139.00,,15.316
36,1,713.00,609.00,147.00,139.00,,15.309
37,1,712.00,608.00,147.00,139.00,,14.257
38,1,711.00,607.00,147.00,139.00,,16.366
39,1,710.00,606.00,147.00,139.00,,14.736
40,1,709.00,605.00,147.00,139.00,,14.373
41,1,708.00,604.00,147.00,139.00,,13.458
42,1,707.00,603.00,147.00,139.00,,14.542
43,1,704.00,602.00,147.00,139.00,,13.629
44,1,703.00,601.00,147.00,139.00,,15.442
45,1,700.00,598.00,147.00,139.00,,13.703
46,1,699.00,595.00,147.00,139.00,,14.650
47,1,698.00,594.00,147.00,139.00,,14.409
48,1,697.00,593.00,147.00,139.00,,13.809
49,1,696.00,592.00,147.00,139.00,,14.491
50,1,695.00,591.00,147.00,139.00,,14.297
51,1,692.00,588.00,147.00,139.00,,14.586
52,1,691.00,589.00,147.00,139.00,,14.279
53,1,688.00,588.00,147.00,139.00,,14.270
54,1,689.00,587.00,147.00,139.00,,14.960
55,1,686.00,586.00,147.00,139.00,,13.716
56,1,687.00,585.00,147.00,139.00,,12.845
57,1,686.00,584.00,147.00,139.00,,12.653
58,1,685.00,583.00,147.00,139.00,,13.721
59,1,684.00,582.00,147.00,139.00,,13.233
60,1,685.00,583.00,147.00,139.00,,13.492
61,1,684.00,580.00,147.00,139.00,,13.515
62,1,685.00,581.00,147.00,139.00,,13.792
63,1,684.00,578.00,147.00,139.00,,14.174
64,1,683.00,579.00,147.00,139.00,,12.853
65,1,682.00,580.00,147.00,139.00,,12.656
66,1,681.00,581.00,147.00,139.00,,13.467
67,1,680.00,582.00,147.00,139.00,,13.567
68,1,681.00,583.00,147.00,139.00,,13.105
69,1,680.00,582.00,147.00,139.00,,12.642
70,1,681.00,583.00,147.00,139.00,,13.534
71,1,680.00,582.00,147.00,139.00,,12.791
72,1,681.00,583.00,147.00,139.00,,12.268
