frame,ok,x,y,w,h,score,dt_ms
0,1,2754.00,1014.00,255.00,102.00,,150.626
1,1,2754.00,1015.00,255.00,102.00,,123.953
2,1,2719.00,1009.00,245.00,98.00,,152.863
3,1,2682.00,1003.00,240.00,96.00,,185.485
4,1,2647.00,999.00,236.00,94.00,,207.682
5,1,2615.00,995.00,226.00,91.00,,208.878
6,1,2582.00,993.00,218.00,87.00,,151.321
7,1,2549.00,987.00,213.00,85.00,,142.251
8,1,2519.00,984.00,205.00,82.00,,108.755
9,1,2491.00,981.00,197.00,79.00,,117.311
10,1,2457.00,973.00,197.00,79.00,,102.837
11,1,2430.00,973.00,189.00,76.00,,99.825
12,1,2399.00,964.00,189.00,76.00,,145.489
13,1,2373.00,964.00,182.00,73.00,,144.861
14,1,2346.00,959.00,179.00,71.00,,159.277
15,1,2318.00,955.00,175.00,70.00,,121.941
16,1,2293.00,952.00,172.00,69.00,,99.511
17,1,2266.00,949.00,168.00,67.00,,94.987
18,1,2244.00,946.00,162.00,65.00,,98.421
19,1,2217.00,942.00,162.00,65.00,,119.769
20,1,2195.00,939.00,155.00,62.00,,104.965
21,1,2170.00,937.00,155.00,62.00,,114.969
22,1,2147.00,934.00,152.00,61.00,,127.531
23,1,2125.00,929.00,149.00,60.00,,172.928
24,1,2103.00,927.00,146.00,59.00,,139.504
25,1,2082.00,924.00,144.00,57.00,,105.503
26,1,2061.00,923.00,141.00,56.00,,117.545
27,1,2041.00,920.00,138.00,55.00,,142.536
28,1,2021.00,917.00,135.00,54.00,,150.193
29,1,2002.00,915.00,133.00,53.00,,129.326
30,1,1983.00,912.00,130.00,52.00,,126.135
31,1,1963.00,907.00,130.00,52.00,,154.780
32,1,1945.00,906.00,128.00,51.00,,159.226
33,1,1927.00,904.00,125.00,50.00,,139.858
34,1,1911.00,901.00,120.00,48.00,,111.777
35,1,1892.00,898.00,120.00,48.00,,91.380
36,1,1875.00,898.00,118.00,47.00,,91.246
37,1,1859.00,894.00,115.00,46.00,,127.115
38,1,1842.00,893.00,113.00,45.00,,141.580
39,1,1827.00,892.00,111.00,44.00,,104.248
40,1,1810.00,888.00,111.00,44.00,,94.567
41,1,1794.00,886.00,109.00,44.00,,92.147
42,1,1780.00,884.00,107.00,43.00,,108.041
43,1,1765.00,883.00,105.00,42.00,,126.707
44,1,1750.00,880.00,105.00,42.00,,104.637
45,1,1735.00,878.00,105.00,42.00,,135.982
46,1,1720.00,877.00,103.00,41.00,,162.380
47,1,1706.00,875.00,103.00,41.00,,172.654
48,1,1692.00,874.00,101.00,40.00,,195.678
49,1,1679.00,872.00,97.00,39.00,,176.687
50,1,1666.00,870.00,97.00,39.00,,162.741
51,1,1651.00,868.00,97.00,39.00,,166.297
52,1,1639.00,866.00,95.00,38.00,,171.559
53,1,1626.00,864.00,93.00,37.00,,218.329
54,1,1614.00,863.00,93.00,37.00,,160.735
55,1,1600.00,861.00,93.00,37.00,,205.523
56,1,1588.00,859.00,93.00,37.00,,209.750
57,1,1575.00,856.00,93.00,37.00,,196.709
58,1,1563.00,855.00,91.00,36.00,,184.013
59,1,1553.00,853.00,89.00,36.00,,176.429
60,1,1540.00,852.00,89.00,36.00,,138.564
61,1,1528.00,850.00,89.00,36.00,,155.751
62,1,1515.00,848.00,91.00,36.00,,152.766
63,1,1506.00,848.00,89.00,36.00,,170.167
64,1,1494.00,844.00,89.00,36.00,,172.900
65,1,1482.00,842.00,91.00,36.00,,134.928
66,1,1472.00,842.00,89.00,36.00,,180.138
67,1,1462.00,839.00,88.00,35.00,,152.013
68,1,1452.00,839.00,88.00,35.00,,184.783
69,1,1441.00,838.00,88.00,35.00,,171.656
70,1,1432.00,836.00,86.00,34.00,,184.610
71,1,1423.00,836.00,86.00,34.00,,212.780
72,1,1412.00,835.00,84.00,34.00,,211.186
73,1,1403.00,833.00,84.00,34.00,,209.656
74,1,1394.00,832.00,82.00,33.00,,210.451
75,1,1385.00,831.00,81.00,32.00,,213.237
76,1,1376.00,829.00,81.00,32.00,,191.732
77,1,1367.00,828.00,79.00,32.00,,194.751
78,1,1359.00,827.00,79.00,32.00,,237.809
79,1,1349.00,825.00,78.00,31.00,,207.634
80,1,1341.00,824.00,76.00,30.00,,203.826
81,1,1334.00,823.00,75.00,30.00,,172.531
82,1,1325.00,822.00,75.00,30.00,,173.961
83,1,1317.00,821.00,73.00,29.00,,186.790
84,1,1310.00,820.00,72.00,29.00,,181.982
85,1,1302.00,819.00,70.00,28.00,,173.959
86,1,1294.00,818.00,70.00,28.00,,200.626
87,1,1286.00,817.00,72.00,29.00,,181.479
88,1,1279.00,816.00,70.00,28.00,,178.270
89,1,1271.00,815.00,70.00,28.00,,187.114
90,1,1263.00,814.00,70.00,28.00,,183.004
91,1,1254.00,812.00,72.00,29.00,,187.757
92,1,1248.00,812.00,70.00,28.00,,178.695
93,1,1240.00,811.00,70.00,28.00,,188.228
94,1,1232.00,809.00,70.00,28.00,,173.862
95,1,1225.00,808.00,70.00,28.00,,176.008
96,1,1219.00,807.00,70.00,28.00,,171.876
97,1,1212.00,807.00,70.00,28.00,,188.288
