frame,ok,x,y,w,h,score,dt_ms
0,1,1094.00,618.00,100.00,66.00,0.9997445344924927,2.215
1,1,1094.00,618.00,100.00,66.00,0.9997458457946777,2.989
2,1,1094.00,618.00,100.00,66.00,0.999749481678009,2.304
3,1,1094.00,618.00,100.00,66.00,0.999883770942688,2.070
4,1,1094.00,618.00,100.00,66.00,0.999554455280304,2.177
5,1,1094.00,618.00,100.00,66.00,0.9992680549621582,3.732
6,1,1094.00,618.00,100.00,66.00,0.9991079568862915,2.344
7,1,1093.00,619.00,100.00,66.00,0.9370974898338318,2.188
8,1,1093.00,619.00,100.00,66.00,0.8832675814628601,2.329
9,1,1093.00,619.00,100.00,66.00,0.8831152319908142,2.299
10,1,1093.00,619.00,100.00,66.00,0.849924623966217,3.072
11,1,1093.00,619.00,100.00,66.00,0.8509981036186218,2.044
12,1,1094.00,619.00,100.00,66.00,0.8353087306022644,2.152
13,1,1092.00,618.00,100.00,66.00,0.8139749765396118,2.302
14,1,1092.00,618.00,100.00,66.00,0.8146810531616211,2.170
15,1,1092.00,618.00,100.00,66.00,0.8254795670509338,2.552
16,1,1094.00,619.00,95.00,63.00,0.816802978515625,2.164
17,0,1094.00,618.00,100.00,66.00,0.3019947111606598,2.264
18,1,1094.00,618.00,90.00,60.00,0.8069344162940979,3.268
19,1,1094.00,618.00,86.00,57.00,0.8066497445106506,1.872
20,1,1094.00,617.00,82.00,54.00,0.8030522465705872,2.078
21,1,1094.00,618.00,74.00,49.00,0.6734808683395386,1.174
22,0,1094.00,618.00,100.00,66.00,-1.0,0.629
23,0,1094.00,618.00,100.00,66.00,-1.0,0.672
24,0,1094.00,618.00,100.00,66.00,-1.0,0.636
25,0,1094.00,618.00,100.00,66.00,-1.0,0.446
26,0,1094.00,618.00,100.00,66.00,-1.0,0.645
27,0,1094.00,618.00,100.00,66.00,-1.0,0.629
28,0,1094.00,618.00,100.00,66.00,-1.0,0.642
29,0,1094.00,618.00,100.00,66.00,-1.0,0.645
30,0,1094.00,618.00,100.00,66.00,-1.0,0.649
31,0,1094.00,618.00,100.00,66.00,-1.0,0.461
32,0,1094.00,618.00,100.00,66.00,-1.0,1.190
33,0,1094.00,618.00,100.00,66.00,-1.0,0.626
34,0,1094.00,618.00,100.00,66.00,-1.0,0.634
35,0,1094.00,618.00,100.00,66.00,-1.0,0.594
36,0,1094.00,618.00,100.00,66.00,-1.0,0.469
37,0,1094.00,618.00,100.00,66.00,-1.0,0.491
38,0,1094.00,618.00,100.00,66.00,-1.0,0.628
39,0,1094.00,618.00,100.00,66.00,-1.0,0.639
40,0,1094.00,618.00,100.00,66.00,-1.0,0.450
41,0,1094.00,618.00,100.00,66.00,-1.0,0.626
42,0,1094.00,618.00,100.00,66.00,-1.0,0.729
43,0,1094.00,618.00,100.00,66.00,-1.0,0.692
44,0,1094.00,618.00,100.00,66.00,-1.0,0.645
45,0,1094.00,618.00,100.00,66.00,-1.0,0.629
46,0,1094.00,618.00,100.00,66.00,-1.0,0.661
47,0,1094.00,618.00,100.00,66.00,-1.0,0.466
48,0,1094.00,618.00,100.00,66.00,-1.0,0.668
49,0,1094.00,618.00,100.00,66.00,-1.0,0.415
50,0,1094.00,618.00,100.00,66.00,-1.0,0.845
51,0,1094.00,618.00,100.00,66.00,-1.0,0.629
52,0,1094.00,618.00,100.00,66.00,-1.0,0.639
53,0,1094.00,618.00,100.00,66.00,-1.0,0.670
54,0,1094.00,618.00,100.00,66.00,-1.0,0.482
55,0,1094.00,618.00,100.00,66.00,-1.0,0.659
56,0,1094.00,618.00,100.00,66.00,-1.0,0.581
57,0,1094.00,618.00,100.00,66.00,-1.0,0.659
58,0,1094.00,618.00,100.00,66.00,-1.0,0.470
59,0,1094.00,618.00,100.00,66.00,-1.0,0.667
60,0,1094.00,618.00,100.00,66.00,-1.0,0.557
61,0,1094.00,618.00,100.00,66.00,-1.0,0.652
62,0,1094.00,618.00,100.00,66.00,-1.0,0.679
