frame,ok,x,y,w,h,score,dt_ms
0,1,681.00,583.00,150.00,144.00,,5.896
1,1,681.00,585.00,150.00,144.00,,4.606
2,1,679.00,588.00,150.00,144.00,,5.552
3,1,680.00,589.00,150.00,144.00,,5.731
4,1,681.00,589.00,150.00,144.00,,3.202
5,1,682.00,588.00,150.00,144.00,,3.516
6,1,683.00,590.00,150.00,144.00,,3.170
7,1,686.00,591.00,150.00,144.00,,3.488
8,1,688.00,593.00,150.00,144.00,,3.369
9,1,690.00,595.00,150.00,144.00,,3.143
10,1,692.00,597.00,150.00,144.00,,3.592
11,1,694.00,597.00,150.00,144.00,,3.240
12,1,696.00,598.00,150.00,144.00,,4.979
13,1,697.00,598.00,150.00,144.00,,3.174
14,1,700.00,600.00,150.00,144.00,,3.540
15,1,702.00,601.00,150.00,144.00,,4.148
16,1,704.00,602.00,150.00,144.00,,3.888
17,1,706.00,603.00,150.00,144.00,,3.076
18,1,707.00,604.00,150.00,144.00,,4.827
19,1,708.00,604.00,150.00,144.00,,3.396
20,1,709.00,605.00,150.00,144.00,,3.175
21,1,710.00,606.00,150.00,144.00,,3.643
22,1,711.00,606.00,150.00,144.00,,3.185
23,1,711.00,606.00,150.00,144.00,,4.959
24,1,712.00,607.00,150.00,144.00,,3.389
25,1,711.00,607.00,150.00,144.00,,3.493
26,1,712.00,607.00,150.00,144.00,,3.568
27,1,711.00,608.00,150.00,144.00,,4.169
28,1,711.00,608.00,150.00,144.00,,4.085
29,1,711.00,608.00,150.00,144.00,,4.735
30,1,711.00,608.00,150.00,144.00,,3.746
31,1,711.00,607.00,150.00,144.00,,3.158
32,1,711.00,607.00,150.00,144.00,,3.416
33,1,711.00,607.00,150.00,144.00,,3.182
34,1,710.00,608.00,150.00,144.00,,3.541
35,1,710.00,608.00,150.00,144.00,,3.735
36,1,709.00,607.00,150.00,144.00,,3.243
37,1,708.00,607.00,150.00,144.00,,5.224
38,1,707.00,606.00,150.00,144.00,,3.759
39,1,706.00,605.00,150.00,144.00,,3.572
40,1,705.00,604.00,150.00,144.00,,4.934
41,1,704.00,603.00,150.00,144.00,,4.664
42,1,703.00,602.00,150.00,144.00,,3.223
43,1,701.00,600.00,150.00,144.00,,3.257
44,1,699.00,598.00,150.00,144.00,,3.714
45,1,697.00,596.00,150.00,144.00,,3.134
46,1,695.00,595.00,150.00,144.00,,3.588
47,1,694.00,595.00,150.00,144.00,,3.229
48,1,692.00,594.00,150.00,144.00,,4.904
49,1,691.00,593.00,150.00,144.00,,3.038
50,1,689.00,592.00,150.00,144.00,,3.369
51,1,687.00,591.00,150.00,144.00,,3.127
52,1,685.00,591.00,150.00,144.00,,5.088
53,1,683.00,590.00,150.00,144.00,,3.135
54,1,682.00,590.00,150.00,144.00,,3.022
55,1,681.00,589.00,150.00,144.00,,4.914
56,1,680.00,588.00,150.00,144.00,,3.017
57,1,679.00,587.00,150.00,144.00,,3.295
58,1,678.00,586.00,150.00,144.00,,3.117
59,1,678.00,585.00,150.00,144.00,,3.089
60,1,678.00,584.00,150.00,144.00,,3.337
61,1,677.00,583.00,150.00,144.00,,3.311
62,1,677.00,583.00,150.00,144.00,,3.074
63,1,677.00,582.00,150.00,144.00,,4.833
64,1,677.00,582.00,150.00,144.00,,3.046
65,1,676.00,582.00,150.00,144.00,,3.501
66,1,676.00,582.00,150.00,144.00,,3.027
67,1,676.00,582.00,150.00,144.00,,4.354
68,1,676.00,582.00,150.00,144.00,,3.733
69,1,676.00,581.00,150.00,144.00,,3.433
70,1,677.00,581.00,150.00,144.00,,3.101
71,1,677.00,580.00,150.00,144.00,,4.711
72,1,677.00,579.00,150.00,144.00,,4.831
73,1,677.00,579.00,150.00,144.00,,3.418
74,1,677.00,579.00,150.00,144.00,,3.787
75,1,677.00,579.00,150.00,144.00,,3.741
76,1,677.00,579.00,150.00,144.00,,3.415
77,1,677.00,580.00,150.00,144.00,,3.723
78,1,677.00,580.00,150.00,144.00,,5.351
79,1,678.00,581.00,150.00,144.00,,3.399
80,1,678.00,581.00,150.00,144.00,,3.750
81,1,678.00,581.00,150.00,144.00,,3.352
82,1,678.00,581.00,150.00,144.00,,3.843
83,1,679.00,581.00,150.00,144.00,,4.660
84,1,678.00,580.00,150.00,144.00,,3.693
85,1,679.00,579.00,150.00,144.00,,3.074
86,1,679.00,578.00,150.00,144.00,,4.746
87,1,678.00,578.00,150.00,144.00,,3.407
88,1,678.00,578.00,150.00,144.00,,3.105
89,1,678.00,578.00,150.00,144.00,,3.391
90,1,678.00,578.00,150.00,144.00,,3.136
91,1,678.00,579.00,150.00,144.00,,3.464
92,1,677.00,579.00,150.00,144.00,,4.464
93,1,677.00,581.00,150.00,144.00,,3.304
94,1,677.00,582.00,150.00,144.00,,3.147
95,1,677.00,582.00,150.00,144.00,,3.450
96,1,677.00,582.00,150.00,144.00,,4.142
97,1,677.00,583.00,150.00,144.00,,3.328
98,1,677.00,584.00,150.00,144.00,,3.078
99,1,677.00,586.00,150.00,144.00,,3.434
100,1,678.00,587.00,150.00,144.00,,3.411
101,1,678.00,589.00,150.00,144.00,,3.392
102,1,678.00,591.00,150.00,144.00,,3.081
103,1,679.00,592.00,150.00,144.00,,4.102
104,1,680.00,593.00,150.00,144.00,,3.244
105,1,681.00,593.00,150.00,144.00,,3.149
106,1,681.00,593.00,150.00,144.00,,3.677
107,1,681.00,593.00,150.00,144.00,,4.938
108,1,681.00,592.00,150.00,144.00,,4.889
109,1,682.00,591.00,150.00,144.00,,3.647
110,1,683.00,591.00,150.00,144.00,,3.752
111,1,684.00,590.00,150.00,144.00,,3.275
112,1,685.00,591.00,150.00,144.00,,4.871
113,1,686.00,593.00,150.00,144.00,,3.138
114,1,687.00,594.00,150.00,144.00,,3.580
115,1,688.00,596.00,150.00,144.00,,3.647
116,1,689.00,597.00,150.00,144.00,,3.175
117,1,690.00,598.00,150.00,144.00,,3.636
118,1,691.00,599.00,150.00,144.00,,3.248
119,1,691.00,600.00,150.00,144.00,,3.178
120,1,692.00,602.00,150.00,144.00,,3.483
121,1,692.00,603.00,150.00,144.00,,3.118
122,1,692.00,604.00,150.00,144.00,,3.612
123,1,693.00,604.00,150.00,144.00,,3.228
124,1,693.00,604.00,150.00,144.00,,3.489
125,1,693.00,604.00,150.00,144.00,,3.200
