frame,ok,x,y,w,h,score,dt_ms
0,1,1249.00,1990.00,224.00,229.00,0.9770823121070862,21.301
1,1,1249.00,1991.00,224.00,229.00,0.9723994135856628,15.315
2,1,1250.00,1992.00,224.00,229.00,0.9595882892608643,15.198
3,1,1250.00,1993.00,224.00,229.00,0.9355465173721313,22.314
4,1,1251.00,1994.00,224.00,229.00,0.9201607704162598,16.878
5,1,1251.00,1994.00,224.00,229.00,0.9008643627166748,21.055
6,1,1251.00,1995.00,224.00,229.00,0.8917412757873535,15.328
7,1,1252.00,1996.00,224.00,229.00,0.8799960017204285,15.566
8,1,1248.00,1994.00,235.00,240.00,0.8760206699371338,21.172
9,1,1249.00,1995.00,247.00,252.00,0.8787713050842285,26.080
10,1,1249.00,1996.00,259.00,265.00,0.8718820214271545,21.038
11,1,1251.00,1998.00,272.00,278.00,0.865761935710907,23.640
12,1,1251.00,1999.00,286.00,292.00,0.8571153879165649,21.199
13,1,1251.00,2000.00,300.00,307.00,0.844653308391571,19.364
14,1,1252.00,2001.00,315.00,322.00,0.8374296426773071,20.853
15,1,1252.00,2002.00,331.00,338.00,0.8332423567771912,30.486
16,1,1253.00,2004.00,348.00,355.00,0.831254780292511,33.117
17,1,1253.00,2005.00,365.00,373.00,0.8266037106513977,28.633
18,1,1254.00,2006.00,383.00,392.00,0.8216590881347656,33.926
19,1,1255.00,2008.00,402.00,412.00,0.8128799200057983,39.897
20,1,1256.00,2009.00,422.00,433.00,0.8078843951225281,48.727
21,1,1256.00,2010.00,443.00,455.00,0.8013620376586914,48.903
22,1,1257.00,2012.00,465.00,478.00,0.7986770272254944,76.860
23,1,1258.00,2013.00,488.00,502.00,0.7933782339096069,85.105
24,1,1259.00,2015.00,512.00,527.00,0.7869113683700562,82.007
25,1,1259.00,2016.00,538.00,553.00,0.781654953956604,73.290
26,1,1260.00,2018.00,565.00,581.00,0.7815362215042114,63.543
27,1,1261.00,2019.00,593.00,610.00,0.7789523601531982,70.995
28,1,1261.00,2021.00,623.00,640.00,0.7782245874404907,66.735
29,1,1262.00,2022.00,654.00,672.00,0.775924563407898,92.411
30,1,1263.00,2024.00,687.00,706.00,0.770452618598938,99.000
31,1,1263.00,2026.00,721.00,741.00,0.7616123557090759,108.209
32,1,1264.00,2027.00,757.00,778.00,0.7610299587249756,122.375
33,1,1261.00,2025.00,833.00,856.00,0.7633830904960632,140.116
34,1,1244.00,2027.00,916.00,942.00,0.7637292146682739,183.560
35,1,1152.00,2028.00,1008.00,1036.00,0.7622116208076477,192.477
36,1,1051.00,2030.00,1109.00,1140.00,0.7612056136131287,195.886
37,1,940.00,2031.00,1220.00,1254.00,0.7598686218261719,208.519
38,1,818.00,2032.00,1342.00,1379.00,0.7595420479774475,288.796
39,1,684.00,2034.00,1476.00,1517.00,0.7590106129646301,332.871
40,1,536.00,2035.00,1624.00,1669.00,0.7578413486480713,423.300
41,1,374.00,2004.00,1786.00,1836.00,0.75975501537323,388.827
42,1,195.00,1820.00,1965.00,2020.00,0.7592406868934631,390.555
43,1,0.00,1618.00,2162.00,2222.00,0.7560298442840576,401.153
44,1,0.00,1396.00,2378.00,2444.00,0.7561814785003662,529.583
45,1,0.00,1152.00,2616.00,2688.00,0.7541608810424805,788.669
46,1,0.00,883.00,2878.00,2957.00,0.7536361813545227,1174.332
47,1,0.00,587.00,3166.00,3253.00,0.7486696243286133,800.583
48,1,0.00,262.00,3483.00,3578.00,0.7452830076217651,428.305
49,1,0.00,0.00,3831.00,3936.00,0.7407501339912415,438.002
50,1,0.00,0.00,4214.00,4330.00,0.73408442735672,438.346
51,1,0.00,0.00,4635.00,4763.00,0.7271629571914673,495.327
52,1,0.00,0.00,5098.00,5239.00,0.7192434072494507,668.967
53,1,0.00,0.00,5608.00,5763.00,0.7147696614265442,657.173
54,1,0.00,0.00,6169.00,6339.00,0.7076228260993958,689.594
55,1,0.00,0.00,6786.00,6973.00,0.6996506452560425,753.308
56,1,0.00,0.00,7125.00,7322.00,0.6947437524795532,825.339
57,1,0.00,0.00,7481.00,7688.00,0.6940356492996216,785.893
58,1,0.00,0.00,7855.00,8072.00,0.6923400163650513,774.560
59,1,0.00,0.00,8640.00,8879.00,0.688005268573761,826.545
60,1,0.00,0.00,9504.00,9767.00,0.6914957761764526,964.398
61,1,0.00,0.00,10454.00,10744.00,0.6929605007171631,1048.682
62,1,0.00,0.00,11499.00,11818.00,0.6938184499740601,1222.254
63,1,0.00,0.00,12649.00,13000.00,0.6946284174919128,1251.922
64,1,0.00,0.00,13914.00,14300.00,0.6954391598701477,1533.151
65,1,0.00,0.00,15305.00,15730.00,0.6965188384056091,1990.126
66,1,0.00,0.00,16836.00,17303.00,0.6976898312568665,1627.004
67,1,0.00,0.00,18520.00,19033.00,0.6929910778999329,1806.149
68,1,0.00,0.00,20372.00,20936.00,0.6922264695167542,1870.347
69,1,0.00,0.00,22409.00,23030.00,0.6939428448677063,1883.094
70,1,0.00,0.00,24650.00,25333.00,0.6977699995040894,1817.094
71,1,0.00,0.00,27115.00,27866.00,0.6994161605834961,1630.516
72,1,0.00,0.00,29827.00,30653.00,0.7020529508590698,1631.994
73,1,0.00,0.00,32810.00,33718.00,0.7018905878067017,1689.521
74,1,0.00,0.00,36091.00,37090.00,0.7031092047691345,1697.814
75,1,0.00,0.00,39700.00,40799.00,0.701328456401825,1688.414
76,1,0.00,0.00,43670.00,44879.00,0.7024439573287964,1648.657
77,1,0.00,0.00,48037.00,49367.00,0.7027289271354675,1654.468
78,1,0.00,0.00,52841.00,54304.00,0.7021237015724182,1768.636
79,1,0.00,0.00,58125.00,59734.00,0.6968685388565063,1771.507
80,1,0.00,0.00,63938.00,65707.00,0.6881659030914307,1784.466
81,1,0.00,0.00,70332.00,72278.00,0.6825941205024719,1739.691
82,1,0.00,0.00,77365.00,79506.00,0.6857737302780151,1780.822
83,1,0.00,0.00,85102.00,87457.00,0.6837081909179688,1744.073
84,1,0.00,0.00,93612.00,96203.00,0.6848725080490112,1919.701
85,1,0.00,0.00,102973.00,105823.00,0.683149516582489,1711.757
86,1,0.00,0.00,113270.00,116405.00,0.6844892501831055,1684.714
87,1,0.00,0.00,124597.00,128046.00,0.6831729412078857,1699.384
88,1,0.00,0.00,137057.00,140851.00,0.6817026138305664,1705.588
89,1,0.00,0.00,150763.00,154936.00,0.680983304977417,1757.956
90,1,0.00,0.00,165839.00,170430.00,0.6788871884346008,1697.119
91,1,0.00,0.00,182423.00,187473.00,0.6750401258468628,1757.639
92,1,0.00,0.00,191544.00,196847.00,0.6734288334846497,1630.977
93,1,0.00,0.00,201121.00,206689.00,0.6724334955215454,1653.853
94,1,0.00,0.00,211177.00,217023.00,0.6708742380142212,1326.391
95,1,0.00,0.00,200618.00,206172.00,0.6712607741355896,1194.177
96,1,0.00,0.00,190587.00,195863.00,0.670205295085907,1177.988
97,1,0.00,0.00,181058.00,186070.00,0.6715880036354065,1158.168
98,1,0.00,0.00,172005.00,176766.00,0.6708831191062927,1193.666
99,1,0.00,0.00,163405.00,167928.00,0.6712735295295715,1461.947
100,1,0.00,0.00,155235.00,159532.00,0.6688225865364075,1367.580
101,1,0.00,0.00,147473.00,151555.00,0.6677570939064026,1185.695
102,1,0.00,0.00,140099.00,143977.00,0.6661519408226013,1230.063
103,1,0.00,0.00,140099.00,143977.00,0.6661415696144104,1216.261
104,1,0.00,0.00,140099.00,143977.00,0.6648566126823425,1188.389
105,1,0.00,0.00,140099.00,143977.00,0.6642869710922241,1200.101
106,1,0.00,0.00,140099.00,143977.00,0.6660463213920593,1211.292
107,1,0.00,0.00,140099.00,143977.00,0.6634141206741333,1235.798
108,1,0.00,0.00,147104.00,151176.00,0.6666810512542725,1177.857
109,1,0.00,0.00,154459.00,158735.00,0.6697689294815063,1188.200
110,1,0.00,0.00,162182.00,166672.00,0.6687818169593811,1191.385
111,1,0.00,0.00,170291.00,175006.00,0.6667129397392273,1187.746
112,1,0.00,0.00,178806.00,183756.00,0.6659343838691711,1185.564
113,1,0.00,0.00,187746.00,192944.00,0.664985716342926,1199.325
114,1,0.00,0.00,197133.00,202591.00,0.6630430817604065,1177.917
115,1,0.00,0.00,216846.00,222850.00,0.6625416278839111,1224.912
116,1,0.00,0.00,238531.00,245135.00,0.662566602230072,1513.596
117,1,0.00,0.00,262384.00,269648.00,0.6612998247146606,1258.313
118,1,0.00,0.00,288622.00,296613.00,0.6597435474395752,1159.624
119,1,0.00,0.00,317484.00,326274.00,0.6548657417297363,1185.003
120,1,0.00,0.00,349232.00,358901.00,0.6532694697380066,1201.103
121,1,0.00,0.00,384155.00,394791.00,0.6558700203895569,1163.282
122,1,0.00,0.00,422571.00,434270.00,0.6581031680107117,1187.593
123,1,0.00,0.00,464828.00,477697.00,0.6581405401229858,1182.624
124,1,0.00,0.00,511311.00,525467.00,0.6570001840591431,1174.728
125,1,0.00,0.00,562442.00,578014.00,0.6544901132583618,1188.940
126,1,0.00,0.00,618686.00,635815.00,0.6523046493530273,1164.592
127,1,0.00,0.00,680555.00,699396.00,0.6513392329216003,1190.519
128,1,0.00,0.00,748611.00,769336.00,0.6467427611351013,1168.508
129,1,0.00,0.00,823472.00,846270.00,0.6444376707077026,1207.879
130,1,0.00,0.00,905819.00,930897.00,0.6432498097419739,1180.761
